name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude,Company_Type
Livestream,games_video,120.0,$14.7M,USA,New York,"111 8th Avenue, #1509",10011,40.726155,-73.995625,Pre-selected
hi5,games_video,100.0,$52M,USA,San Francisco,55 Second Street,94105,37.788668,-122.400558,Pre-selected
Zynga,games_video,115.0,$860M,USA,San Francisco,365 Vermont St.,94103,37.765158,-122.404234,Pre-selected
iWin,games_video,103.0,$0,USA,San Francisco,45 Fremont Street,94105,37.781689,-122.391061,Pre-selected
Exent,games_video,100.0,$3M,USA,New York,632 W. 28th St.,10001,40.7523796,-74.005568,Pre-selected
Digg,news,,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523,Raised > $1M
Joost,games_video,,$45M,USA,New York,100 5th Ave Fl 6,10011-6903,40.7464969,-74.0094471,Raised > $1M
Prosper,finance,,$120M,USA,San Francisco,101 2nd Street,94105,37.78976,-122.402524,Raised > $1M
Pando Networks,games_video,,$11M,USA,New York,520 Broadway,10012,40.722655,-73.99873,Raised > $1M
Revision3,games_video,,$9M,USA,San Francisco,2415 3rd St,94107,37.757758,-122.388243,Raised > $1M
Yelp,search,,$90M,USA,San Francisco,706 Mission Street,94103,37.786183,-122.402195,Raised > $1M
KickApps,enterprise,,$32M,USA,New York,26 W 17th Street,10011,40.7516611,-73.9843328,Raised > $1M
Swivel,search,,$2M,USA,San Francisco,199 Fremont St.,94105,37.789268,-122.395184,Raised > $1M
Slide,public_relations,,$78M,USA,San Francisco,301 Brannan Street,94107,37.781427,-122.392144,Raised > $1M
Bebo,web,,$15M,USA,San Francisco,425 Bush Street,94108,37.782103,-122.401116,Raised > $1M
Dogster,web,,$1M,USA,San Francisco,"555 De Haro Street, #350",,37.762681,-122.400909,Raised > $1M
Eventbrite,web,,$140M,USA,San Francisco,651 Brannan,94107,37.779507,-122.39071,Raised > $1M
Seesmic,web,,$16M,USA,San Francisco,1550 Bryant Street,94103,37.775196,-122.419204,Raised > $1M
Piczo,network_hosting,,$11M,USA,San Francisco,150 California Street,94111,37.793703,-122.398479,Raised > $1M
hi5,games_video,,$52M,USA,San Francisco,55 Second Street,94105,37.788668,-122.400558,Raised > $1M
