name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Digg,news,60.0,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523
99designs,design,100.0,$35M,USA,San Francisco,447 Battery St.,94111,37.7955307,-122.4005983
Cutcaster,web,8.0,$0,USA,San Francisco,39 Mesa St.,94129,37.79851,-122.457454
Ammunition Group,public_relations,,$0,USA,San Francisco,Randomhouse One,94111,37.8046037,-122.4057819
Minted,ecommerce,115.0,$52.7M,USA,San Francisco,747 Front Street,94111,37.797435,-122.403175
Ecolect,cleantech,3.0,$0,USA,San Francisco,19 Rausch Street,9403,37.776769,-122.410111
Milobox,advertising,,$0,USA,San Francisco,,94109,37.792979,-122.421242
Ecolect,cleantech,3.0,$0,USA,San Francisco,19 Rausch Street,9403,37.776769,-122.410111
Milobox,advertising,,$0,USA,San Francisco,,94109,37.792979,-122.421242
Idea Couture,consulting,200.0,$0,USA,San Francisco,649 Front St.,94111,37.7975044,-122.4047318
Bamboudesign,mobile,2.0,$0,USA,San Francisco,123 10th Street,94103,37.775087,-122.415199
