name,address,city,category,distance,lat,lon
Bar Fluxus,18 Harlan Pl,San Francisco,karaoke,427,37.790297,-122.40514
Sool Bar and Lounge,323 Grant Ave,San Francisco,karaoke,470,37.789993,-122.405695
Uno Dos Tacos,595 Market St,San Francisco,bars,42,37.789274,-122.400993
Tequila Mockingbird,86 2nd St,San Francisco,bars,63,37.78812,-122.40028
Sammy's on 2nd,84 2nd St,San Francisco,bars,64,37.78812,-122.40028
Luke's Lobster SoMa,92 2nd St,San Francisco,bars,81,37.788038,-122.40006
House of Shields,39 New Montgomery St,San Francisco,bars,82,37.788276,-122.401221
The Sentinel,37 New Montgomery St,San Francisco,bars,82,37.788304,-122.401294
Flatiron Wines & Spirits,2 New Montgomery St,San Francisco,bars,106,37.78806,-122.401495
Mixt,560 Mission St,San Francisco,bars,125,37.788743,-122.399384
Ghirardelli Ice Cream & Chocolate Shop,2 New Montgomery St,San Francisco,bars,133,37.788352,-122.401942
Palace Hotel,2 New Montgomery St,San Francisco,bars,134,37.788,-122.40185
Special Olympics Northern CA,109 Stevenson St,San Francisco,clubs,43,37.788428,-122.400943
111 Minna Gallery,111 Minna St,San Francisco,clubs,172,37.787274,-122.39937
Harlot,46 Minna St,San Francisco,clubs,186,37.78857,-122.398227
Meg,1 Sansome St,San Francisco,clubs,258,37.790916,-122.401305
Local Edition,691 Market St,San Francisco,clubs,266,37.787566,-122.403258
The Wing San Francisco,115 Sansome St,San Francisco,clubs,281,37.791388,-122.400687
Rooftop Comedy,530 Howard St,San Francisco,clubs,300,37.788462,-122.397074
The Wing,115 Sansome St,San Francisco,clubs,302,37.791366,-122.400973
Temple Nightclub,540 Howard St,San Francisco,clubs,304,37.787893,-122.397255
Gold Club,650 Howard St,San Francisco,clubs,312,37.785979,-122.399652
Starbucks,74 New Montgomery St,San Francisco,starbucks,99,37.787664,-122.401113
Starbucks,44 Montgomery St,San Francisco,starbucks,165,37.789534,-122.401869
Starbucks,100 1st St,San Francisco,starbucks,274,37.78934,-122.397555
Starbucks Truck,50 Fremont St,San Francisco,starbucks,374,37.790766,-122.397281
