name,category_code,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Digg,news,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523
Joost,games_video,$45M,USA,New York,100 5th Ave Fl 6,10011-6903,40.7464969,-74.0094471
Prosper,finance,$120M,USA,San Francisco,101 2nd Street,94105,37.78976,-122.402524
Pando Networks,games_video,$11M,USA,New York,520 Broadway,10012,40.722655,-73.99873
Revision3,games_video,$9M,USA,San Francisco,2415 3rd St,94107,37.757758,-122.388243
Yelp,search,$90M,USA,San Francisco,706 Mission Street,94103,37.786183,-122.402195
KickApps,enterprise,$32M,USA,New York,26 W 17th Street,10011,40.7516611,-73.9843328
Swivel,search,$2M,USA,San Francisco,199 Fremont St.,94105,37.789268,-122.395184
Slide,public_relations,$78M,USA,San Francisco,301 Brannan Street,94107,37.781427,-122.392144
Bebo,web,$15M,USA,San Francisco,425 Bush Street,94108,37.782103,-122.401116
Dogster,web,$1M,USA,San Francisco,"555 De Haro Street, #350",,37.762681,-122.400909
Eventbrite,web,$140M,USA,San Francisco,651 Brannan,94107,37.779507,-122.39071
Seesmic,web,$16M,USA,San Francisco,1550 Bryant Street,94103,37.775196,-122.419204
Piczo,network_hosting,$11M,USA,San Francisco,150 California Street,94111,37.793703,-122.398479
hi5,games_video,$52M,USA,San Francisco,55 Second Street,94105,37.788668,-122.400558
Curse,games_video,$12M,USA,San Francisco,60 Broadway,94111,37.787092,-122.399972
AOL,web,$1B,USA,New York,770 Broadway,10003,40.7311317,-73.9919311
Viagogo,ecommerce,$65M,USA,San Francisco,77 Battery St Fl 4,94111-5540,51.500152,-0.126236
Metacafe,games_video,$50M,USA,San Francisco,128 King Street,94107,37.437328,-122.159928
Dropbox,software,$257M,USA,San Francisco,,94107,37.7909427,-122.4084994
Snocap,games_video,$25M,USA,San Francisco,"201 Third Street, 2nd Floor",94103,,
TokBox,messaging,$26M,USA,San Francisco,501 Second Street,94107,37.779507,-122.39071
Yola,web,$25M,USA,San Francisco,201 Mission Street,94105,37.7911148,-122.3954751
Kongregate,games_video,$19M,USA,San Francisco,2 Shaw Alley,94105,37.786942,-122.401245
