name,category_code,number_of_employees,total_money_raised,country_code,city,address,zip_code,latitude,longitude,Company_Type
hi5,games_video,100.0,$52M,USA,San Francisco,55 Second Street,94105,37.788668,-122.400558,Pre-selected
Zynga,games_video,115.0,$860M,USA,San Francisco,365 Vermont St.,94103,37.765158,-122.404234,Pre-selected
iWin,games_video,103.0,$0,USA,San Francisco,45 Fremont Street,94105,37.781689,-122.391061,Pre-selected
Digg,news,,$45M,USA,San Francisco,135 Mississippi St,94107,37.764726,-122.394523,Raised > $1M
Prosper,finance,,$120M,USA,San Francisco,101 2nd Street,94105,37.78976,-122.402524,Raised > $1M
Revision3,games_video,,$9M,USA,San Francisco,2415 3rd St,94107,37.757758,-122.388243,Raised > $1M
Yelp,search,,$90M,USA,San Francisco,706 Mission Street,94103,37.786183,-122.402195,Raised > $1M
Swivel,search,,$2M,USA,San Francisco,199 Fremont St.,94105,37.789268,-122.395184,Raised > $1M
Slide,public_relations,,$78M,USA,San Francisco,301 Brannan Street,94107,37.781427,-122.392144,Raised > $1M
Bebo,web,,$15M,USA,San Francisco,425 Bush Street,94108,37.782103,-122.401116,Raised > $1M
Dogster,web,,$1M,USA,San Francisco,"555 De Haro Street, #350",,37.762681,-122.400909,Raised > $1M
Eventbrite,web,,$140M,USA,San Francisco,651 Brannan,94107,37.779507,-122.39071,Raised > $1M
Seesmic,web,,$16M,USA,San Francisco,1550 Bryant Street,94103,37.775196,-122.419204,Raised > $1M
Piczo,network_hosting,,$11M,USA,San Francisco,150 California Street,94111,37.793703,-122.398479,Raised > $1M
Curse,games_video,,$12M,USA,San Francisco,60 Broadway,94111,37.787092,-122.399972,Raised > $1M
Viagogo,ecommerce,,$65M,USA,San Francisco,77 Battery St Fl 4,94111-5540,37.7919443,-122.4026277,Raised > $1M
Metacafe,games_video,,$50M,USA,San Francisco,128 King Street,94107,37.437328,-122.159928,Raised > $1M
Snocap,games_video,,$25M,USA,San Francisco,"201 Third Street, 2nd Floor",94103,37.73518,-122.39078,Raised > $1M
TokBox,messaging,,$26M,USA,San Francisco,501 Second Street,94107,37.779507,-122.39071,Raised > $1M
Yola,web,,$25M,USA,San Francisco,201 Mission Street,94105,37.7911148,-122.3954751,Raised > $1M
Kongregate,games_video,,$19M,USA,San Francisco,2 Shaw Alley,94105,37.786942,-122.401245,Raised > $1M
Kiva,finance,,$9M,USA,San Francisco,"3180 18th Street, Suite 201",94110,37.762125,-122.4147,Raised > $1M
Zivity,network_hosting,,$8M,USA,San Francisco,329 Bryant Street,94107,37.789488,-122.397593,Raised > $1M
Trulia,search,,$255M,USA,San Francisco,116 New Montgomery,94501,37.766909,-122.406676,Raised > $1M
OpenTable,web,,$48M,USA,San Francisco,One Montgomery,,37.785647,-122.405265,Raised > $1M
Jawbone,hardware,,$403M,USA,San Francisco,99 Rhode Island Street,94103,37.768708,-122.402866,Raised > $1M
3Jam,mobile,,$4M,USA,San Francisco,365 Vermont St,94103-5060,37.765125,-122.4044034,Raised > $1M
Rupture,games_video,,$3M,USA,San Francisco,400 2nd Street,94107,37.783898,-122.395234,Raised > $1M
Whiskey Media,web,,$4M,USA,San Francisco,921 Front St.,94111,37.856331,-122.495222,Raised > $1M
The Climate Corporation,cleantech,,$109M,USA,San Francisco,201 Third Street,94103,37.782809,-122.394354,Raised > $1M
Radar Networks,advertising,,$24M,USA,San Francisco,"410 Townsend Street, Suite 150",94107,37.7753,-122.398058,Raised > $1M
Gydget,web,,$1M,USA,San Francisco,1 Front Street,94111,37.791733,-122.398398,Raised > $1M
Songbird,mobile,,$11M,USA,San Francisco,2 Shaw Alley,94105,37.787126,-122.39783,Raised > $1M
BrightRoll,advertising,,$46M,USA,San Francisco,343 Sansome St.,94104,37.794643,-122.401144,Raised > $1M
Doppelganger,web,,$11M,USA,San Francisco,500 Treat Ave,94141,37.762162,-122.413912,Raised > $1M
GameLayers,web,,$2M,USA,San Francisco,1 Lombard Street,94111,37.803847,-122.402468,Raised > $1M
Splunk,software,,$40M,USA,San Francisco,250 Brannan St.,94107,37.78274,-122.390945,Raised > $1M
Dapper,advertising,,$3M,USA,San Francisco,290 King Street,94107,37.7766184,-122.3938931,Raised > $1M
HubPages,web,,$8M,USA,San Francisco,95 Minna Street,94105,37.7876952,-122.3991505,Raised > $1M
Deem,ecommerce,,$467M,USA,San Francisco,301 Howard Street,94105,37.559836,-122.271532,Raised > $1M
Mobissimo,search,,$1M,USA,San Francisco,631 Howard St. suite 520,94105,37.78624,-122.39897,Raised > $1M
Shozu,mobile,,$36M,USA,San Francisco,"600 Townsend St., Suite 120E",94103,37.771706,-122.402683,Raised > $1M
Scrapblog,web,,$10M,USA,San Francisco,110 Sutter,94104,37.7902397,-122.4027193,Raised > $1M
Meraki,network_hosting,,$80M,USA,San Francisco,660 Alabama St.,94110,37.392443,-122.072517,Raised > $1M
Joyent,enterprise,,$112M,USA,San Francisco,One Embarcadero Center,94111,37.856743,-122.480153,Raised > $1M
Smaato,advertising,,$18M,USA,San Francisco,"240 Stockton St, 10th Floor",94108,37.78795,-122.40667,Raised > $1M
Offermatica,software,,$7M,USA,San Francisco,Pier One Bay Three,94111,37.79713,-122.39468,Raised > $1M
MyNewPlace,web,,$20M,USA,San Francisco,"360 3rd Street,",94107,37.75672,-122.40507,Raised > $1M
Coverity,enterprise,,$22M,USA,San Francisco,185 Berry Street,94107,37.7759675,-122.3931128,Raised > $1M
99designs,design,,$35M,USA,San Francisco,447 Battery St.,94111,37.7955307,-122.4005983,Design
LiveRail,advertising,,$12M,USA,San Francisco,575 Market St.,94105,37.787183,-122.397759,Raised > $1M
kwiry,mobile,,$1M,USA,San Francisco,47 Kearny St.,94108,37.7885714,-122.4035985,Raised > $1M
SignalDemand,software,,$30M,USA,San Francisco,"101 California Street, Suite 1950",94111,37.79315,-122.39848,Raised > $1M
SlideShare,web,,$3M,USA,San Francisco,"490 2nd St, 301",94107,37.776878,-122.400934,Raised > $1M
Wikimedia Foundation,nonprofit,,$74M,USA,San Francisco,149 New Montgomery St.,94105,37.76785,-122.392839,Raised > $1M
Placecast,mobile,,$8M,USA,San Francisco,165 Page St.,94102,37.773688,-122.423468,Raised > $1M
Obvious,web,,$2M,USA,San Francisco,164 South Park Street,94107,37.78115,-122.39481,Raised > $1M
Marin Software,advertising,,$100M,USA,San Francisco,123 Mission St.,94105,37.792083,-122.3946404,Raised > $1M
SquareTrade,hardware,,$248M,USA,San Francisco,575 Market Street,94105,37.789551,-122.40036,Raised > $1M
GitHub,software,,$100M,USA,San Francisco,275 Brannan St.,94107,37.775196,-122.419204,Raised > $1M
Serious Business,games_video,,$4M,USA,San Francisco,580 Market Street,94104,37.7893215,-122.4013624,Raised > $1M
Tealeaf,advertising,,$12M,USA,San Francisco,45 Fremont St.,94105,37.791242,-122.397133,Raised > $1M
Kabam,games_video,,$125M,USA,San Francisco,795 Folsom Street,94107,37.3944561,-122.0785314,Raised > $1M
Zinch,web,,$5M,USA,San Francisco,"600 Townsend St, East Building",94103,37.771696,-122.4025698,Raised > $1M
Citizen Sports,games_video,,$10M,USA,San Francisco,525 Brannan St,94107,37.777513,-122.397044,Raised > $1M
Zinio,news,,$27M,USA,San Francisco,114 Sansome Street,94104,37.7915,-122.40045,Raised > $1M
TRUSTe,enterprise,,$37M,USA,San Francisco,835 Market Street,94103,37.7886685,-122.4005576,Raised > $1M
Jambool,finance,,$6M,USA,San Francisco,501 Folsom St,94105,37.782101,-122.389519,Raised > $1M
Practice Fusion,health,,$155M,USA,San Francisco,420 Taylor Street,94102,37.7886717,-122.392725,Raised > $1M
Razz,software,,$10M,USA,San Francisco,208 Utah Street,94103,37.766909,-122.406676,Raised > $1M
Keibi Technologies,software,,$5M,USA,San Francisco,685 Market Street,94105,37.787646,-122.402759,Raised > $1M
