name,address,city,category,distance,lat,lon
Sool Bar and Lounge,323 Grant Ave,San Francisco,karaoke,470,37.789993,-122.405695
Tequila Mockingbird,86 2nd St,San Francisco,bars,63,37.78812,-122.40028
Sammy's on 2nd,84 2nd St,San Francisco,bars,64,37.78812,-122.40028
Luke's Lobster SoMa,92 2nd St,San Francisco,bars,81,37.788038,-122.40006
Flatiron Wines & Spirits,2 New Montgomery St,San Francisco,bars,106,37.78806,-122.401495
Palace Hotel,2 New Montgomery St,San Francisco,bars,134,37.788,-122.40185
111 Minna Gallery,111 Minna St,San Francisco,clubs,172,37.787274,-122.39937
Harlot,46 Minna St,San Francisco,clubs,186,37.78857,-122.398227
The Wing San Francisco,115 Sansome St,San Francisco,clubs,281,37.791388,-122.400687
Rooftop Comedy,530 Howard St,San Francisco,clubs,300,37.788462,-122.397074
The Wing,115 Sansome St,San Francisco,clubs,302,37.791366,-122.400973
Gold Club,650 Howard St,San Francisco,clubs,312,37.785979,-122.399652
Starbucks,74 New Montgomery St,San Francisco,starbucks,99,37.787664,-122.401113
Starbucks,44 Montgomery St,San Francisco,starbucks,165,37.789534,-122.401869
Starbucks,100 1st St,San Francisco,starbucks,274,37.78934,-122.397555
Starbucks Truck,50 Fremont St,San Francisco,starbucks,374,37.790766,-122.397281
Starbucks,264 Kearny St,San Francisco,starbucks,387,37.790693,-122.403801
Starbucks,201 3rd St,San Francisco,starbucks,414,37.784981,-122.39988
Starbucks,398 Market St,San Francisco,starbucks,423,37.792028,-122.398287
Starbucks,555 California St,San Francisco,starbucks,468,37.79209,-122.403676
Starbucks,295 California St,San Francisco,starbucks,493,37.79309,-122.399784
Starbucks,359 Grant Ave,San Francisco,starbucks,497,37.790448,-122.405722
Peet's Coffee and Tea,595 Market St,San Francisco,vegan restaurants,96,37.789274,-122.400993
Mixt,560 Mission St,San Francisco,vegan restaurants,125,37.788743,-122.399384
Bun Mee,650 Market St,San Francisco,vegan restaurants,187,37.788455,-122.402737
Bluestone Lane Union Square Coffee Shop,685 Market St,San Francisco,vegan restaurants,227,37.787598,-122.40283
Chipotle Mexican Grill,525 Market St,San Francisco,vegan restaurants,228,37.790483,-122.399272
Sweetgreen,171 2nd St,San Francisco,vegan restaurants,230,37.787275,-122.398509
Asha Tea House,17 Kearny St,San Francisco,vegan restaurants,273,37.788118,-122.403721
illy Caffè,220 Montgomery St,San Francisco,vegan restaurants,327,37.791203,-122.402254
Fang,660 Howard St,San Francisco,vegan restaurants,341,37.785827,-122.399929
San Ramon Valley Unified School.dst,582 Market St,San Francisco,elementary school,129,37.789453,-122.401649
Technapex Elementary School,115 Sansome St,San Francisco,elementary school,313,37.791458,-122.40105
Oxford Elementary School,50 Beale St,San Francisco,elementary school,455,37.791248,-122.396521
Basketball Court,100 McAllister St,San Francisco,basketball stadium,1452,37.781084,-122.414131
Kezar Pavilion,755 Stanyan St,San Francisco,basketball stadium,5242,37.767456,-122.453888
Urban Knights,755 Stanyan St,San Francisco,basketball stadium,5245,37.767521,-122.453892
Cowell Pavilion,,San Francisco,basketball stadium,9544,37.747456,-122.496039
Kildaire Animal Medical Center,1 Post St,San Francisco,veterinary,180,37.788791,-122.402613
Veterinary Passions Associates,101 California St,San Francisco,veterinary,538,37.793091,-122.398063
