name,address,city,category,distance,lat,lon
Live Sushi Bar,2001 17th St,San Francisco,bars,71,37.7645,-122.403691
Starbucks,350 Rhode Island St,San Francisco,bars,105,37.765796,-122.403409
Next Level Clucker San Francisco,450 Rhode Island St,San Francisco,bars,133,37.764592,-122.402908
Steep Brew,450 Rhode Island St,San Francisco,bars,139,37.7645,-122.402831
Dos Pinas,251 Rhode Island St,San Francisco,bars,188,37.766745,-122.402533
Salsa Dance Classes with Tianne Frias,1830 17th St,San Francisco,clubs,202,37.765059,-122.401932
Metronome Ballroom,1830 17th St,San Francisco,clubs,210,37.764967,-122.401855
Mission Fusion,500 De Haro St,San Francisco,clubs,309,37.763183,-122.401678
The Great Northern,119 Utah St,San Francisco,clubs,320,37.768066,-122.406625
Starbucks,350 Rhode Island St,San Francisco,starbucks,105,37.765796,-122.403409
Whole Foods,450 Rhode Island St,San Francisco,vegan restaurants,167,37.764381,-122.40268
Torraku Ramen,300 De Haro St,San Francisco,vegan restaurants,215,37.765801,-122.402047
Peet's Coffee and Tea,2300 16th St,San Francisco,vegan restaurants,458,37.766531,-122.409186
Downtown High School,693 Vermont St,San Francisco,elementary school,408,37.761475,-122.403943
International Studies Academy,655 De Haro St,San Francisco,elementary school,455,37.761714,-122.400803
Live Oak School,1555 Mariposa St,San Francisco,elementary school,465,37.763509,-122.399117
San Francisco Unified School District Financing Corporation,655 De Haro St,San Francisco,elementary school,480,37.761703,-122.400946
The New School of San Francisco,940 Filbert St,San Francisco,elementary school,487,37.761752,-122.400734
Creative Arts Charter School,1802 19th St,San Francisco,elementary school,517,37.761503,-122.400576
Envision Schools,185 Berry St,San Francisco,elementary school,614,37.761812,-122.398659
Brightworks School,1960 Bryant St,San Francisco,elementary school,631,37.762286,-122.410441
Community Alliance For Special Education,1550 Bryant St,San Francisco,elementary school,664,37.767522,-122.41118
Chase Center Stadium,1 Warriors Way,San Francisco,basketball stadium,1503,37.767924,-122.387478
United Club,500 Terry A Francois Blvd,San Francisco,basketball stadium,1516,37.767832,-122.387401
Basketball Court,100 McAllister St,San Francisco,basketball stadium,1974,37.781084,-122.414131
USF - War Memorial Gymnasium,2100 Golden Gate Ave,San Francisco,basketball stadium,4179,37.778096,-122.445491
Kezar Pavilion,755 Stanyan St,San Francisco,basketball stadium,4367,37.767456,-122.453888
Urban Knights,755 Stanyan St,San Francisco,basketball stadium,4370,37.767521,-122.453892
Gym Building-SFSU,1600 Holloway Ave,San Francisco,basketball stadium,7978,37.721413,-122.478227
Cowell Pavilion,,San Francisco,basketball stadium,8286,37.747456,-122.496039
Little Buddhas Dog Walking and Pet Sitting,593 Potrero Ave,San Francisco,pet grooming,417,37.762092,-122.406989
